video_id,frame_id,object_id,position_x,position_y,position_z,object_length,object_width,object_height,heading,type_bus,type_car,type_person,type_truck
12,0,-1,0.0376987280035893,0.6255042447816177,0.0,0.113598376503485,0.1586135360582096,0.113598376503485,0,False,True,False,False
12,0,-1,0.1388456310380422,0.540438025206585,0.0,0.0886945078475252,0.0304089296367758,0.0886945078475252,0,False,False,True,False
12,0,-1,0.3313739067572404,0.560013215688344,0.0,0.0365632792250438,0.1471248741506046,0.0365632792250438,0,False,True,False,False
12,0,-1,0.3186195578981634,0.5593626875429429,0.0,0.0355522228370757,0.0942124784869529,0.0355522228370757,0,False,True,False,False
12,0,-1,0.4254334341389847,0.5785832915339122,0.0,0.0,0.0463363921547552,0.0,0,False,True,False,False
12,0,-1,0.3735953725037902,0.5498310169645748,0.0,0.0304487026295786,0.0508810897740742,0.0304487026295786,0,False,True,False,False
12,0,-1,0.3725908282231355,0.5620373829711176,0.0,0.018934360905796,0.0361672105587935,0.018934360905796,0,False,True,False,False
12,0,-1,0.3657471613037349,0.5552603541446821,0.0,0.0314223190409984,0.0613114209124996,0.0314223190409984,0,False,True,False,False
12,0,-1,0.4236211154806741,0.561696383848949,0.0,0.0200644640277059,0.0601023384244771,0.0200644640277059,0,False,True,False,False
12,1,1076,0.0377776510304156,0.6305799597358055,0.0,0.1149815756370726,0.1596829526408104,0.1149815756370726,0,False,True,False,False
12,1,1077,0.1348054505814425,0.5428251943826488,0.0,0.0902681375001283,0.0312488430301052,0.0902681375001283,0,False,False,True,False
12,1,1078,0.3310151409427208,0.5597780227205349,0.0,0.0362526513345094,0.1463514500649923,0.0362526513345094,0,False,True,False,False
12,2,1076,0.0375060746384318,0.6324269652638486,0.0,0.1133607698438071,0.1582764992001112,0.1133607698438071,0,False,True,False,False
12,2,1077,0.1300436068124957,0.5446397655468864,0.0,0.0880550188863881,0.0301370906594561,0.0880550188863881,0,False,False,True,False
12,2,1078,0.3330543750408937,0.5601735466380731,0.0,0.035729199747497,0.145279693570216,0.035729199747497,0,False,True,False,False
12,3,1076,0.037811837377787,0.6319774425135967,0.0,0.1162043050839416,0.159827260011367,0.1162043050839416,0,False,True,False,False
12,3,1078,0.3335347650109738,0.5589222814787336,0.0,0.0370848720898162,0.1491711081684051,0.0370848720898162,0,False,True,False,False
12,4,1076,0.0377939687562077,0.6328096907567498,0.0,0.1128120927406806,0.1575430582039664,0.1128120927406806,0,False,True,False,False
