video_id,frame_id,object_id,position_x,position_y,position_z,object_length,object_width,object_height,heading,type_bicycle,type_bus,type_car,type_person,type_truck
1,0,1,0.9225758097507634,0.2516110854170946,0.0,0.3944774085541177,0.1839671262150214,0.3944774085541177,0,False,False,True,False,False
1,0,2,0.3188018653906835,0.1738684440809303,0.0,0.0615280482133864,0.0503494802018114,0.0615280482133864,0,False,False,True,False,False
1,0,3,0.0276837497146899,0.3130701563611141,0.0,0.2085717701976444,0.0707924357983489,0.2085717701976444,0,False,False,True,False,False
1,0,4,0.112547406603641,0.2821323254288186,0.0,0.1457998873370368,0.1114477148459859,0.1457998873370368,0,False,False,True,False,False
1,0,5,0.8127317836294154,0.217397393406717,0.0,0.1959749533741109,0.1077204188826613,0.1959749533741109,0,False,False,True,False,False
1,0,6,0.6124238178650168,0.1150232561938123,0.0,0.0889643382247323,0.0633680539512066,0.0889643382247323,0,False,False,True,False,False
1,1,1,0.9264160995724988,0.254998259226177,0.0,0.4087938292848767,0.1766436484795918,0.4087938292848767,0,False,False,True,False,False
1,1,2,0.316158922830773,0.1807295279100036,0.0,0.067433791166023,0.053670333044179,0.067433791166023,0,False,False,True,False,False
1,1,3,0.022810854023123,0.3186697463188911,0.0,0.2144649042977345,0.060304897299863,0.2144649042977345,0,False,False,True,False,False
1,1,4,0.0984497502592638,0.293757624392733,0.0,0.1488646982003084,0.1135408534316204,0.1488646982003084,0,False,False,True,False,False
1,1,5,0.8275370308186931,0.2216547272671726,0.0,0.1971553139113542,0.1083255445777922,0.1971553139113542,0,False,False,True,False,False
1,1,6,0.6148795342523287,0.1184449883711468,0.0,0.0872912294612717,0.0624068760369681,0.0872912294612717,0,False,False,True,False,False
1,2,1,0.9362157047941312,0.235259532589373,0.0,0.3727575137835892,0.1547498616288666,0.3727575137835892,0,False,False,True,False,False
1,2,2,0.3122667108969744,0.1907315666268703,0.0,0.0745964074656729,0.0576115321345553,0.0745964074656729,0,False,False,True,False,False
1,2,4,0.0965715274660551,0.3050346929719622,0.0,0.1519148942572192,0.1147386701737719,0.1519148942572192,0,False,False,True,False,False
1,2,5,0.8516842679139133,0.2311735537890036,0.0,0.2080914159003504,0.1144687227966591,0.2080914159003504,0,False,False,True,False,False
1,2,6,0.6167014310429948,0.1221518081815461,0.0,0.0906289933256901,0.0642086089838878,0.0906289933256901,0,False,False,True,False,False
1,3,1,0.9464280591765118,0.2575327412181667,0.0,0.3528967799927885,0.1319336005555067,0.3528967799927885,0,False,False,True,False,False
1,3,2,0.3075595845773614,0.1948238975124326,0.0,0.0746284310854925,0.0576634450916924,0.0746284310854925,0,False,False,True,False,False
1,3,4,0.0731783045474208,0.3176361713139227,0.0,0.1604713618929097,0.1204051189328566,0.1604713618929097,0,False,False,True,False,False
1,3,5,0.8830286785970898,0.2455802342467532,0.0,0.2356951314139745,0.1296804151384054,0.2356951314139745,0,False,False,True,False,False
1,3,6,0.6204834240603709,0.1221645123519321,0.0,0.0921136140718233,0.0650685702214884,0.0921136140718233,0,False,False,False,False,True
1,3,7,0.2642210443531868,0.2103004506048241,0.0,0.0646480944477562,0.0258368885102111,0.0646480944477562,0,False,False,True,False,False
1,4,1,0.96229491161112,0.3083978196013855,0.0,0.2898377591719193,0.0964844980299712,0.2898377591719193,0,False,False,True,False,False
1,4,2,0.3019521911216448,0.2013984569272664,0.0,0.0807087636611723,0.0610382221785416,0.0807087636611723,0,False,False,True,False,False
