video_id,frame_id,object_id,position_x,position_y,position_z,object_length,object_width,object_height,heading,type_bicycle,type_bus,type_car,type_motorcycle,type_person,type_train,type_truck
3,0,-1,0.7849696917137499,0.4592462396589207,0.0,0.2058519351412839,0.0423106610577442,0.2058519351412839,0,False,False,False,False,True,False,False
3,0,-1,0.8227114423306531,0.309273524137994,0.0,0.0464437027535437,0.0098546401085486,0.0464437027535437,0,False,False,False,False,True,False,False
3,0,-1,0.4992471652975213,0.3429405141278188,0.0,0.0951273169374268,0.0590292631915546,0.0951273169374268,0,False,False,True,False,False,False,False
3,0,-1,0.4991437576963224,0.2956575642695447,0.0,0.0419529620549242,0.0555525847280018,0.0419529620549242,0,False,False,True,False,False,False,False
3,0,-1,0.1484342761748851,0.2596738015371345,0.0,0.0527564551391887,0.0814408149033995,0.0527564551391887,0,False,False,False,False,False,False,True
3,0,-1,0.1491710111627375,0.2604357930032581,0.0,0.0532345654590021,0.0800046814165554,0.0532345654590021,0,False,False,True,False,False,False,False
3,0,-1,0.7847024831313414,0.5936613915881039,0.0,0.0862109526450476,0.0255702503489371,0.0862109526450476,0,True,False,False,False,False,False,False
3,0,-1,0.5003429196550535,0.2817789266313282,0.0,0.0253265895754663,0.0520617273147607,0.0253265895754663,0,False,False,True,False,False,False,False
3,0,-1,0.4231003969801627,0.3224687714897229,0.0,0.0282894828337144,0.0123441598391647,0.0282894828337144,0,False,False,True,False,False,False,False
3,0,-1,0.4998476618148286,0.3175476955168668,0.0,0.0640826397148572,0.0552145180561497,0.0640826397148572,0,False,False,True,False,False,False,False
3,0,-1,0.6584898276541887,0.2355889017988253,0.0,0.1505535733758643,0.0876210477190526,0.1505535733758643,0,False,False,False,False,False,False,True
3,0,-1,0.7843249602579987,0.5798458965011533,0.0,0.1046488413899395,0.0344083272836481,0.1046488413899395,0,True,False,False,False,False,False,False
3,1,1207,0.789663092568167,0.4542371684168804,0.0,0.2007212661676607,0.0412024073425893,0.2007212661676607,0,False,False,False,False,True,False,False
3,2,1207,0.7962567646997891,0.4567835612470259,0.0,0.2070283971665091,0.0426333334413634,0.2070283971665091,0,False,False,False,False,True,False,False
3,3,1207,0.8042284338680779,0.4668454635406465,0.0,0.2141466325423576,0.0442161093394175,0.2141466325423576,0,False,False,False,False,True,False,False
3,4,1207,0.815015591013838,0.4657360096737717,0.0,0.2167929734874602,0.0449431518643833,0.2167929734874602,0,False,False,False,False,True,False,False
3,5,1207,0.8243973813570971,0.4724431517860123,0.0,0.2200526629711518,0.0458105659912625,0.2200526629711518,0,False,False,False,False,True,False,False
3,6,1207,0.8340441315930832,0.4752534115111841,0.0,0.2288476962907035,0.0478821780595202,0.2288476962907035,0,False,False,False,False,True,False,False
3,7,1207,0.8425657660091278,0.4796121501489436,0.0,0.2319828704321682,0.0488262935523319,0.2319828704321682,0,False,False,False,False,True,False,False
3,8,1207,0.8511607077087809,0.4886887432527544,0.0,0.2422575957283178,0.0513022757619362,0.2422575957283178,0,False,False,False,False,True,False,False
3,8,1208,0.8514951199885203,0.6590135754106969,0.0,0.121839562111515,0.0526374601909107,0.121839562111515,0,True,False,False,False,False,False,False
