video_id,frame_id,object_id,position_x,position_y,position_z,object_length,object_width,object_height,heading,type_car,type_person,type_truck
2,0,-1,0.7857959166740917,0.6827260200732213,0.0,0.1852325301959073,0.0904414321547673,0.1852325301959073,0,True,False,False
2,1,1174,0.8001775264971408,0.6843402865337898,0.0,0.1940109010204308,0.094199830406489,0.1940109010204308,0,True,False,False
2,2,1174,0.8185184843306489,0.691402776950389,0.0,0.2089951593653255,0.1005695898771191,0.2089951593653255,0,True,False,False
2,3,1174,0.841009483066908,0.696507155580977,0.0,0.2236660991996898,0.1067104928204962,0.2236660991996898,0,True,False,False
2,4,1174,0.8644728296551931,0.7030481298352782,0.0,0.2359934610033058,0.1118805917874139,0.2359934610033058,0,True,False,False
2,5,1174,0.8887781993481811,0.7075567886011169,0.0,0.2403855746259464,0.1140152974352025,0.2403855746259464,0,True,False,False
2,6,1174,0.9104637676640458,0.7133740901274885,0.0,0.2594364103775775,0.1227648072009397,0.2594364103775775,0,True,False,False
2,7,1174,0.9293031295988038,0.713086532117587,0.0,0.2649184240977578,0.1263814748372828,0.2649184240977578,0,True,False,False
2,8,1174,0.9391316897846992,0.7360165212975824,0.0,0.32742501257111,0.1436671977658654,0.32742501257111,0,True,False,False
2,9,1174,0.9437586096802832,0.743106334204219,0.0,0.3461912060793686,0.1345264670447567,0.3461912060793686,0,True,False,False
2,10,1174,0.948138577877486,0.7440323128010047,0.0,0.355084382945295,0.1258736027719473,0.355084382945295,0,True,False,False
2,11,-1,0.966089637724445,0.7153233930232694,0.0,0.2788185377930987,0.0895196274432222,0.2788185377930987,0,True,False,False
2,11,-1,0.3276247869316199,0.6023701289636461,0.0,0.0653528089615354,0.0270065198982438,0.0653528089615354,0,True,False,False
2,12,-1,0.9721246910760928,0.7101948272703533,0.0,0.267172338307252,0.0779492290299092,0.267172338307252,0,True,False,False
2,13,-1,0.3330151388258351,0.5929616369844393,0.0,0.0627211556131773,0.0288931848884334,0.0627211556131773,0,True,False,False
2,14,-1,0.3359405233614249,0.5923626324487565,0.0,0.0612832023716484,0.0293312305851285,0.0612832023716484,0,True,False,False
2,15,-1,0.3389380414705613,0.5899681073382683,0.0,0.0649747669043565,0.0309560346122302,0.0649747669043565,0,True,False,False
2,15,-1,0.3960371829003352,0.5976999241091712,0.0,0.0275797028573275,0.0040257196851599,0.0275797028573275,0,True,False,False
2,15,-1,0.5013486535275712,0.9957714340828504,0.0,0.3200368348671097,0.9835580888701698,0.3200368348671097,0,True,False,False
2,16,-1,0.3412063231510285,0.5881448163637528,0.0,0.0746163539539928,0.0331381448742999,0.0746163539539928,0,True,False,False
2,16,-1,0.4951519661799942,0.6320853524728123,0.0,0.0431161812905531,0.0071000611379388,0.0431161812905531,0,True,False,False
2,16,-1,0.4984033827270465,0.994251079350334,0.0,0.3193603172968377,0.9766488059352704,0.3193603172968377,0,True,False,False
2,17,-1,0.3466137483698743,0.5883395077681721,0.0,0.0682099345090603,0.0369126829233406,0.0682099345090603,0,True,False,False
2,18,-1,0.3495339473111637,0.5896459109803414,0.0,0.0667140228965857,0.0337285038678492,0.0667140228965857,0,True,False,False
2,19,-1,0.3512655689022405,0.5925023802666525,0.0,0.0719775315388452,0.0359871090375713,0.0719775315388452,0,True,False,False
2,19,-1,0.5044349627089267,0.973977791742606,0.0,0.3625617196066908,0.9947674197219046,0.3625617196066908,0,True,False,False
2,19,-1,0.4088769834519827,0.6009363701011932,0.0,0.0333953306151463,0.0041243464106927,0.0333953306151463,0,True,False,False
2,19,-1,0.338532170875153,0.58862975323611,0.0,0.0745986837189483,0.0138920647671703,0.0745986837189483,0,True,False,False
2,20,-1,0.353628022932031,0.592245429417722,0.0,0.0810383232057643,0.0332343554625095,0.0810383232057643,0,True,False,False
2,20,-1,0.502124976130902,0.9615003719889832,0.0,0.4010028615683494,0.9899541842376226,0.4010028615683494,0,True,False,False
2,21,-1,0.3564502337093232,0.5932194836527154,0.0,0.07899867321778,0.0355213260844059,0.07899867321778,0,True,False,False
2,21,-1,0.4907822713299904,0.9866673713778852,0.0,0.3401998856988225,0.965876602648048,0.3401998856988225,0,True,False,False
2,22,-1,0.3596235728176638,0.5963382787040301,0.0,0.0825100013530351,0.0312192969349655,0.0825100013530351,0,True,False,False
2,23,-1,0.3622756129367112,0.5995296351223296,0.0,0.0744637840959806,0.0313374943728161,0.0744637840959806,0,True,False,False
2,23,-1,0.4742600873162965,0.98088052770926,0.0,0.3542714511604801,0.9351481681716626,0.3542714511604801,0,True,False,False
2,23,-1,0.5309137813035959,0.6330170045921193,0.0,0.0966644654602439,0.0110720942517773,0.0966644654602439,0,True,False,False
2,24,-1,0.3640094114989802,0.6053984462610666,0.0,0.0844685702053584,0.0340054898505802,0.0844685702053584,0,True,False,False
2,24,-1,0.5356625626652394,0.6447697064952427,0.0,0.0802212515373104,0.0085900447024063,0.0802212515373104,0,True,False,False
