video_id,frame_id,object_id,position_x,position_y,position_z,object_length,object_width,object_height,heading,type_bicycle,type_bus,type_car,type_motorcycle,type_person,type_train,type_truck
9,0,-1,0.6557071305905487,0.433920771925403,0.0,0.1484663718515401,0.1773214119309884,0.1484663718515401,0,False,False,True,False,False,False,False
9,0,-1,0.947638806040473,0.2931816391333013,0.0,0.0710849228143772,0.1932994082879883,0.0710849228143772,0,False,False,True,False,False,False,False
9,0,-1,0.7372170943800704,0.355610814552203,0.0,0.0956429668820143,0.0256126128453266,0.0956429668820143,0,False,False,False,False,True,False,False
9,0,-1,0.5834078562254976,0.2711970501228102,0.0,0.0379667621920853,0.0561153551457839,0.0379667621920853,0,False,False,True,False,False,False,False
9,0,-1,0.7371789944216893,0.3123300996369367,0.0,0.0603694932289953,0.0241140475377923,0.0603694932289953,0,False,False,False,False,True,False,False
9,1,820,0.6552270613206129,0.4375660817243152,0.0,0.1519109981575366,0.1814859741146162,0.1519109981575366,0,False,False,True,False,False,False,False
9,1,821,0.9410914897991848,0.2907106606739589,0.0,0.0680035239975909,0.1857602089210568,0.0680035239975909,0,False,False,True,False,False,False,False
9,1,822,0.73762287362833,0.3577810459666695,0.0,0.1007016071744994,0.0279314306308758,0.1007016071744994,0,False,False,False,False,True,False,False
9,2,820,0.6551522815822479,0.4416949632159004,0.0,0.1559251735629162,0.1862824762985031,0.1559251735629162,0,False,False,True,False,False,False,False
9,2,821,0.941685809972595,0.2905027737724215,0.0,0.0675876884335528,0.1844411399640425,0.0675876884335528,0,False,False,True,False,False,False,False
9,2,822,0.7379237065902005,0.3605654523721822,0.0,0.1064642685780846,0.0305266340052662,0.1064642685780846,0,False,False,False,False,True,False,False
9,3,820,0.6547778931737341,0.4473119035420752,0.0,0.162379830125334,0.193899433907654,0.162379830125334,0,False,False,True,False,False,False,False
9,3,821,0.9459257770633888,0.289972871857695,0.0,0.0697757995159182,0.1890061306467184,0.0697757995159182,0,False,False,True,False,False,False,False
9,3,822,0.7388319351610696,0.3652424084086956,0.0,0.10779167132399,0.0309905386204118,0.10779167132399,0,False,False,False,False,True,False,False
9,4,820,0.654370791690415,0.4568007124469837,0.0,0.1676774588874236,0.1999845894095919,0.1676774588874236,0,False,False,True,False,False,False,False
9,4,821,0.9471637808524308,0.2933331110015205,0.0,0.0713346690449189,0.1923093571994126,0.0713346690449189,0,False,False,True,False,False,False,False
9,4,822,0.7398420248031893,0.3710762221018924,0.0,0.109092442051965,0.0313657529955657,0.109092442051965,0,False,False,False,False,True,False,False
9,5,820,0.6536023772341706,0.4617027295190712,0.0,0.1710954969062253,0.203708433392704,0.1710954969062253,0,False,False,True,False,False,False,False
9,5,821,0.9484674066777592,0.296229748375971,0.0,0.073509485983687,0.1944763612739621,0.073509485983687,0,False,False,True,False,False,False,False
9,5,822,0.7407842397122546,0.3800499068353153,0.0,0.1106572152302607,0.0319465594578575,0.1106572152302607,0,False,False,False,False,True,False,False
9,6,820,0.6532447861080795,0.4684160186343349,0.0,0.174617920190708,0.2074570506933487,0.174617920190708,0,False,False,True,False,False,False,False
9,6,821,0.949287388301324,0.2989917884673891,0.0,0.0751727407783686,0.1915243692303406,0.0751727407783686,0,False,False,True,False,False,False,False
9,6,822,0.7411019678998853,0.3834330115413176,0.0,0.1108950667007416,0.0319192294634266,0.1108950667007416,0,False,False,False,False,True,False,False
9,7,820,0.6532749036844346,0.4751735411297044,0.0,0.1775932282431282,0.2105556549329009,0.1775932282431282,0,False,False,True,False,False,False,False
